Pole_id,Sign_id,Photoname,Sign_category,Transit_category,Status_board,status_word,status,photo_url,lon,lat,details
5,1,Pole5_Sign1.jpg,warning,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole5_Sign1.jpg,-71.111800000000002,42.331499999999998,Do_Not_Pass_Trolley
7,2,Pole7_Sign2.jpg,warning,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole7_Sign2.jpg,-71.111800000000002,42.331299999999999,Do_Not_Pass_Trolley
9,1,Pole9_Sign1.jpg,warning,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole9_Sign1.jpg,-71.111900000000006,42.331400000000002,Do_Not_Pass_Trolley
13,1,Pole13_Sign1.jpg,warning,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole13_Sign1.jpg,-71.111500000000007,42.330300000000001,Do_Not_Pass_Trolley
18,2,Pole18_Sign2.jpg,warning,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole18_Sign2.jpg,-71.111099999999993,42.3294,Do_Not_Pass_Trolley
25,2,Pole25_Sign2.jpg,warning,greenline_related,normal,readable,normal_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole25_Sign2.jpg,-71.110900000000001,42.329500000000003,Do_Not_Pass_Trolley
62,1,Pole62_Sign1.jpg,transit,greenline_related,bad,readable,bad_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole62_Sign1.jpg,-71.106736100000006,42.333186099999999,Do_Not_Pass_Trolley
65,2,Pole65_Sign2.jpg,transit,greenline_related,normal,readable,normal_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole65_Sign2.jpg,-71.106047200000006,42.333419399999997,Do_Not_Pass_Trolley
70,3,Pole70_Sign3.jpg,transit,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole70_Sign3.jpg,-71.105683299999995,42.333644399999997,Do_Not_Pass_Trolley
79,4,Pole79_Sign4.jpg,transit,greenline_related,normal,readable,normal_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole79_Sign4.jpg,-71.105727799999997,42.333794400000002,Do_Not_Pass_Trolley
88,2,Pole88_Sign2.jpg,transit,greenline_related,bad,readable,bad_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole88_Sign2.jpg,-71.107138899999995,42.3332944,Do_Not_Pass_Trolley
96,1,Pole96_Sign1.jpg,transit,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole96_Sign1.jpg,-71.108794399999994,42.333327799999999,Do_Not_Pass_Trolley
97,3,Pole97_Sign3.jpg,transit,greenline_related,bad,readable,bad_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole97_Sign3.jpg,-71.109025000000003,42.3333333,Do_Not_Pass_Trolley
116,1,Pole116_Sign1.jpg,transit,greenline_related,good,readable,good_readable,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole116_Sign1.jpg,-71.110327799999993,42.328319399999998,Greenline_Route_Information
