Transit_category,Transit_category_count,details,details_count,sample_photo,sample_photo_url
greenline_related,43,Do_Not_Pass_Trolley,13,Pole5_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole5_Sign1.jpg
greenline_related,43,Greenline_Route_Information,1,Pole116_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole116_Sign1.jpg
greenline_related,43,Greenline_Stop_Sign,12,Pole1_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole1_Sign1.jpg
greenline_related,43,Law_No_Pass_Trolley,2,Pole6_Sign5.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole6_Sign5.jpg
greenline_related,43,T_Stop_Marker,3,Pole44_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole44_Sign1.jpg
greenline_related,43,Track_Crossing_Danger,1,Pole114_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole114_Sign1.jpg
greenline_related,43,Track_Slippery,6,Pole2_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole2_Sign1.jpg
greenline_related,43,Trolley_Service_Notice,1,Pole115_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole115_Sign1.jpg
greenline_related,43,Vertical_Clearance,1,Pole3_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole3_Sign1.jpg
greenline_related,43,Yield_Trolley,3,Pole6_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole6_Sign1.jpg
bus_related,18,Bus_Stop,12,Pole8_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole8_Sign1.jpg
bus_related,18,Tow_Zone_Bus,6,Pole4_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole4_Sign1.jpg
other,124,Access_Restriction,1,Pole27_Sign2.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole27_Sign2.jpg
other,124,Accessible_Parking,1,Pole106_Sign3.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole106_Sign3.jpg
other,124,Bike_Full_Lane,3,Pole36_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole36_Sign1.jpg
other,124,Commercial_Parking,1,Pole70_Sign2.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole70_Sign2.jpg
other,124,Construction_Vehicle_Parking,1,Pole111_Sign1.jpg,https://raw.githubusercontent.com/helenxu0624/Boston_E_Branch_Sign/main/Pole111_Sign1.jpg
